2018-03-24 11:09:49.033	    7fa09ee08740	INFO 	stacktrace	src/common/stack_trace.cpp:159	    [8] ./monero-wallet-rpc:main+0xfc3 [0x6a2ff3]
2018-03-24 11:09:49.033	    7fa09ee08740	INFO 	stacktrace	src/common/stack_trace.cpp:159	    [9] /lib/x86_64-linux-gnu/libc.so.6:__libc_start_main+0xf0 [0x7fa09e11e830]
2018-03-24 11:09:49.033	    7fa09ee08740	INFO 	stacktrace	src/common/stack_trace.cpp:159	    [10] ./monero-wallet-rpc:_start+0x29 [0x6abeb9]
2018-03-24 11:09:49.033	    7fa09ee08740	INFO 	stacktrace	src/common/stack_trace.cpp:159	
2018-03-24 11:09:49.180	    7fa09ee08740	INFO 	stacktrace	src/common/stack_trace.cpp:120	Exception: std::bad_alloc
2018-03-24 11:09:49.180	    7fa09ee08740	INFO 	stacktrace	src/common/stack_trace.cpp:121	Unwound call stack:
2018-03-24 11:09:49.189	    7fa09ee08740	INFO 	stacktrace	src/common/stack_trace.cpp:159	    [1] ./monero-wallet-rpc:__wrap___cxa_throw+0x102 [0x87f762]
2018-03-24 11:09:49.189	    7fa09ee08740	INFO 	stacktrace	src/common/stack_trace.cpp:159	    [2] ./monero-wallet-rpc() [0xb9285c]
2018-03-24 11:09:49.189	    7fa09ee08740	INFO 	stacktrace	src/common/stack_trace.cpp:159	    [3] ./monero-wallet-rpc:std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::reserve(unsigned long)+0x7d [0xc059fd]
2018-03-24 11:09:49.189	    7fa09ee08740	INFO 	stacktrace	src/common/stack_trace.cpp:159	    [4] ./monero-wallet-rpc:std::__cxx11::basic_stringbuf<char, std::char_traits<char>, std::allocator<char> >::overflow(int)+0xe5 [0xbc9b65]
2018-03-24 11:09:49.189	    7fa09ee08740	INFO 	stacktrace	src/common/stack_trace.cpp:159	    [5] ./monero-wallet-rpc:std::basic_streambuf<char, std::char_traits<char> >::xsputn(char const*, long)+0x89 [0xbd5639]
